,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
166,Source,384PP_AQ_BP2,A18,Destination,A21,220.0
167,Source,384PP_AQ_BP2,A20,Destination,A21,332.5
168,Source,384PP_AQ_BP2,A21,Destination,A21,5.0
169,Source,384PP_AQ_BP2,A23,Destination,A21,1422.5
170,Source,384PP_AQ_BP2,A03,Destination,A22,5.0
171,Source,384PP_AQ_BP2,A04,Destination,A22,67.5
172,Source,384PP_AQ_BP2,A09,Destination,A22,17.5
173,Source,384PP_AQ_BP2,A12,Destination,A22,790.0
174,Source,384PP_AQ_BP2,A14,Destination,A22,160.0
175,Source,384PP_AQ_BP2,A15,Destination,A22,32.5
176,Source,384PP_AQ_BP2,A18,Destination,A22,265.0
177,Source,384PP_AQ_BP2,A20,Destination,A22,147.5
178,Source,384PP_AQ_BP2,A21,Destination,A22,5.0
179,Source,384PP_AQ_BP2,A23,Destination,A22,2000.0
180,Source,384PP_AQ_BP2,A23,Destination,A22,1777.5
181,Source,384PP_AQ_BP2,A03,Destination,A23,7.5
182,Source,384PP_AQ_BP2,A04,Destination,A23,77.5
183,Source,384PP_AQ_BP2,A09,Destination,A23,27.5
184,Source,384PP_AQ_BP2,A12,Destination,A23,987.5
185,Source,384PP_AQ_BP2,A14,Destination,A23,185.0
186,Source,384PP_AQ_BP2,A15,Destination,A23,45.0
187,Source,384PP_AQ_BP2,A18,Destination,A23,265.0
188,Source,384PP_AQ_BP2,A20,Destination,A23,295.0
189,Source,384PP_AQ_BP2,A21,Destination,A23,2.5
190,Source,384PP_AQ_BP2,A23,Destination,A23,1605.0
191,Source,384PP_AQ_BP2,A23,Destination,A24,2000.0
192,Source,384PP_AQ_BP2,A23,Destination,A24,2000.0
193,Source,384PP_AQ_BP2,A23,Destination,A24,1265.0
194,Source,384PP_AQ_BP2,A23,Destination,B12,2000.0
195,Source,384PP_AQ_BP2,A23,Destination,B12,2000.0
196,Source,384PP_AQ_BP2,A23,Destination,B12,1265.0
197,Source,384PP_AQ_BP2,A03,Destination,B11,7.5
198,Source,384PP_AQ_BP2,A04,Destination,B11,77.5
