,Source Plate Name,Source Plate Type,Source Well,Destination Plate Name,Destination Well,Transfer Volume
210,Source,384PP_AQ_BP2,A21,Destination,A21,5.0
211,Source,384PP_AQ_BP2,A23,Destination,A21,1422.5
212,Source,384PP_AQ_BP2,A03,Destination,A22,5.0
213,Source,384PP_AQ_BP2,A04,Destination,A22,67.5
214,Source,384PP_AQ_BP2,A09,Destination,A22,17.5
215,Source,384PP_AQ_BP2,A12,Destination,A22,790.0
216,Source,384PP_AQ_BP2,A14,Destination,A22,160.0
217,Source,384PP_AQ_BP2,A15,Destination,A22,32.5
218,Source,384PP_AQ_BP2,A18,Destination,A22,265.0
219,Source,384PP_AQ_BP2,A20,Destination,A22,147.5
220,Source,384PP_AQ_BP2,A21,Destination,A22,5.0
221,Source,384PP_AQ_BP2,A23,Destination,A22,2000.0
222,Source,384PP_AQ_BP2,A23,Destination,A22,1777.5
223,Source,384PP_AQ_BP2,A03,Destination,A23,7.5
224,Source,384PP_AQ_BP2,A04,Destination,A23,77.5
225,Source,384PP_AQ_BP2,A05,Destination,A23,1105.0
226,Source,384PP_AQ_BP2,A09,Destination,A23,27.5
227,Source,384PP_AQ_BP2,A10,Destination,A23,552.5
228,Source,384PP_AQ_BP2,A12,Destination,A23,987.5
229,Source,384PP_AQ_BP2,A14,Destination,A23,185.0
230,Source,384PP_AQ_BP2,A15,Destination,A23,45.0
231,Source,384PP_AQ_BP2,A18,Destination,A23,265.0
232,Source,384PP_AQ_BP2,A19,Destination,A23,110.0
233,Source,384PP_AQ_BP2,A20,Destination,A23,295.0
234,Source,384PP_AQ_BP2,A21,Destination,A23,2.5
235,Source,384PP_AQ_BP2,A23,Destination,A23,1605.0
236,Source,384PP_AQ_BP2,A23,Destination,A24,2000.0
237,Source,384PP_AQ_BP2,A23,Destination,A24,2000.0
238,Source,384PP_AQ_BP2,A23,Destination,A24,1265.0
239,Source,384PP_AQ_BP2,A23,Destination,B12,2000.0
240,Source,384PP_AQ_BP2,A23,Destination,B12,2000.0
241,Source,384PP_AQ_BP2,A23,Destination,B12,1265.0
242,Source,384PP_AQ_BP2,A03,Destination,B11,7.5
243,Source,384PP_AQ_BP2,A04,Destination,B11,77.5
244,Source,384PP_AQ_BP2,A05,Destination,B11,1105.0
245,Source,384PP_AQ_BP2,A09,Destination,B11,37.5
246,Source,384PP_AQ_BP2,A10,Destination,B11,552.5
247,Source,384PP_AQ_BP2,A12,Destination,B11,1185.0
248,Source,384PP_AQ_BP2,A14,Destination,B11,27.5
249,Source,384PP_AQ_BP2,A15,Destination,B11,17.5
250,Source,384PP_AQ_BP2,A16,Destination,B11,690.0
251,Source,384PP_AQ_BP2,A18,Destination,B11,352.5
252,Source,384PP_AQ_BP2,A19,Destination,B11,110.0
253,Source,384PP_AQ_BP2,A20,Destination,B11,257.5
254,Source,384PP_AQ_BP2,A21,Destination,B11,2.5
255,Source,384PP_AQ_BP2,A23,Destination,B11,837.5
