O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round,experiment_number
0.0,3.2,2.4000000000000004,1.6,4.8,2.0,7.0,50.0,37.5,0.9,0.25,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.1109728813171387,False,3,
1.0,4.0,4.0,2.0,12.0,2.5,9.0,0.0,0.0,0.9,0.45,1.0,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,6.0
1.0,4.0,3.6,2.0,12.0,2.5,9.0,0.0,12.5,1.0,0.5,1.0,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,14.0
0.0,3.6,3.6,1.8,12.0,2.0,9.0,0.0,12.5,0.9,0.5,0.8,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,9.0
0.0,3.6,3.6,2.0,9.6,2.0,9.0,12.5,12.5,1.0,0.5,1.0,ROLLOUT,DOWN,FRONTIER,1.0,2.141709327697754,True,2,29.0
1.0,2.8000000000000003,2.8000000000000003,1.6,9.6,2.5,7.0,37.5,12.5,0.7000000000000001,0.30000000000000004,0.8,ROLLOUT,DOWN,FRONTIER,0.9982832282910743,1.6186343431472778,False,3,
0.0,2.4000000000000004,1.2000000000000002,1.0,8.4,2.0,5.0,50.0,87.5,0.7000000000000001,0.4,0.5,ROLLOUT,DOWN,FRONTIER,0.9797314147511242,2.108501672744751,False,3,
0.0,4.0,3.6,1.4000000000000001,9.6,1.25,7.0,62.5,50.0,0.8,0.4,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,0.9589601923929849,1.5537205934524536,False,3,
0.0,2.8000000000000003,2.4000000000000004,1.6,9.6,2.0,5.0,0.0,62.5,0.5,0.25,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,0.8780643063628468,2.110971689224243,False,3,
0.0,3.2,3.2,0.6000000000000001,7.199999999999999,1.0,7.0,12.5,50.0,0.7000000000000001,0.35000000000000003,0.7000000000000001,ROLLOUT,DOWN,FRONTIER,0.6657184996994858,1.4413858652114868,False,3,
0.0,3.2,2.8000000000000003,2.0,7.199999999999999,2.5,9.0,25.0,75.0,0.7000000000000001,0.35000000000000003,0.4,ROLLOUT,DOWN,FRONTIER,0.653353315954252,2.1109390258789062,False,3,
0.0,0.4,2.8000000000000003,1.6,6.0,2.0,7.0,37.5,50.0,0.7000000000000001,0.5,0.9,ROLLOUT,DOWN,FRONTIER,0.43103369160274263,2.1109728813171387,False,3,
0.0,2.8000000000000003,4.0,1.4000000000000001,8.4,2.0,9.0,0.0,0.0,0.6000000000000001,0.4,1.0,ROLLOUT,DOWN,FRONTIER,0.36144289569487786,1.2109578847885132,False,3,
0.0,3.2,2.0,1.4000000000000001,7.199999999999999,2.5,9.0,25.0,50.0,0.4,0.45,0.6000000000000001,ROLLOUT,DOWN,FRONTIER,0.33019282778214043,2.0901641845703125,False,3,
0.0,2.0,3.6,1.0,4.8,1.25,5.0,125.0,50.0,0.0,0.25,0.5,ROLLOUT,DOWN,BEYOND,0.23643010117748453,2.108095645904541,False,3,
0.0,2.0,3.2,0.8,9.6,1.75,9.0,37.5,25.0,0.5,0.30000000000000004,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.2324350851331014,2.0609941482543945,False,3,
0.0,2.8000000000000003,2.8000000000000003,1.0,9.6,1.75,9.0,12.5,25.0,0.8,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.22002974704525524,1.79030179977417,False,3,
0.0,4.0,2.8000000000000003,1.6,8.4,2.5,9.0,0.0,25.0,0.9,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.21941633454306375,1.4979844093322754,False,3,
1.0,4.0,4.0,2.0,12.0,2.5,9.0,12.5,0.0,0.9,0.45,1.0,ROLLOUT,DOWN,BEYOND,0.208418591440247,2.141709327697754,True,2,51.0
0.0,4.0,3.6,2.0,9.6,1.75,9.0,0.0,12.5,0.7000000000000001,0.4,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.1729149544928288,0.9577745199203491,False,3,
1.0,2.4000000000000004,2.4000000000000004,1.8,7.199999999999999,1.75,7.0,37.5,0.0,0.7000000000000001,0.45,0.30000000000000004,ROLLOUT,DOWN,BEYOND,0.16127602885268244,2.0744857788085938,False,3,
0.0,3.2,2.0,1.2000000000000002,7.199999999999999,2.5,9.0,25.0,50.0,0.4,0.45,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.1598286598028249,2.091092109680176,False,3,
0.0,2.4000000000000004,1.6,1.2000000000000002,7.199999999999999,1.5,5.0,62.5,112.5,0.5,0.30000000000000004,0.4,ROLLOUT,DOWN,BEYOND,0.1518880166237948,2.1097466945648193,False,3,
0.0,3.6,2.4000000000000004,1.0,9.6,1.5,9.0,25.0,0.0,0.8,0.45,0.8,ROLLOUT,DOWN,BEYOND,0.15125227593088075,1.4067528247833252,False,3,
0.0,3.2,3.6,1.6,10.799999999999999,2.0,9.0,25.0,0.0,0.9,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.149695764868226,0.7400561571121216,False,3,
0.0,3.2,4.0,1.0,9.6,1.75,7.0,37.5,12.5,0.7000000000000001,0.4,0.5,ROLLOUT,DOWN,BEYOND,0.12113072565528382,1.7189229726791382,False,3,
0.0,2.8000000000000003,2.4000000000000004,1.0,9.6,1.5,7.0,25.0,25.0,0.6000000000000001,0.35000000000000003,0.8,ROLLOUT,DOWN,BEYOND,0.11586888631084546,1.1690071821212769,False,3,
0.0,2.8000000000000003,2.8000000000000003,1.2000000000000002,9.6,1.25,9.0,12.5,12.5,0.9,0.25,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.09784795472338681,0.8244805335998535,False,3,
0.0,3.2,4.0,1.8,9.6,2.5,5.0,37.5,0.0,0.8,0.35000000000000003,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.07577610538859236,2.0520730018615723,False,3,
0.0,3.6,3.2,1.6,10.799999999999999,2.0,9.0,0.0,12.5,0.8,0.4,0.8,ROLLOUT,DOWN,BEYOND,0.0,0.5992584228515625,False,3,
0.0,3.6,3.6,2.0,12.0,2.0,9.0,12.5,0.0,0.7000000000000001,0.5,0.8,ROLLOUT,DOWN,BEYOND,0.0,0.6559381484985352,False,3,
1.0,3.2,3.2,2.0,9.6,2.25,9.0,25.0,0.0,0.9,0.5,0.8,ROLLOUT,DOWN,BEYOND,0.0,0.9847313165664673,False,3,
0.0,2.8000000000000003,4.0,1.4000000000000001,8.4,2.0,9.0,0.0,0.0,0.6000000000000001,0.35000000000000003,1.0,ROLLOUT,DOWN,BEYOND,0.0,1.2134690284729004,False,3,
0.0,2.4000000000000004,3.6,1.6,9.6,1.75,7.0,12.5,25.0,0.7000000000000001,0.35000000000000003,0.9,ROLLOUT,DOWN,BEYOND,0.0,1.2189621925354004,False,3,
0.0,4.0,3.6,1.4000000000000001,9.6,1.25,7.0,62.5,50.0,0.8,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.553457260131836,False,3,
0.0,3.2,3.6,1.6,8.4,1.75,7.0,50.0,25.0,0.9,0.2,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,1.5564463138580322,False,3,
1.0,2.8000000000000003,2.8000000000000003,1.6,9.6,2.5,7.0,37.5,12.5,0.7000000000000001,0.25,0.8,ROLLOUT,DOWN,BEYOND,0.0,1.6206610202789307,False,3,
0.0,2.8000000000000003,2.8000000000000003,1.4000000000000001,10.799999999999999,2.0,7.0,37.5,0.0,0.4,0.30000000000000004,0.5,ROLLOUT,DOWN,BEYOND,0.0,1.6509218215942383,False,3,
0.0,3.2,3.6,2.0,7.199999999999999,2.25,9.0,0.0,0.0,1.0,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,1.6848781108856201,False,3,
0.0,3.6,3.6,1.6,10.799999999999999,2.25,9.0,25.0,12.5,0.8,0.45,0.8,ROLLOUT,DOWN,BEYOND,0.0,1.7559953927993774,False,3,
