O2,d_glucose,sodium_citrate,sodium_octanoate,sodium_acetate,sodium_benzoate,pH,sodium_chloride,potassium_chloride,mme_trace_minerals,urea,ammonium_chloride,type,direction,frontier_type,growth_pred,var,is_redo,round
0.0,4.0,2.4000000000000004,1.2000000000000002,9.6,1.75,9.0,0.0,25.0,0.8,0.4,0.8,ROLLOUT,DOWN,BEYOND,0.0,1.6905597448349,False,4
0.0,3.2,2.4000000000000004,1.8,10.799999999999999,2.25,9.0,37.5,12.5,0.9,0.4,0.9,ROLLOUT,DOWN,BEYOND,0.0,1.7036547660827637,False,4
0.0,2.8000000000000003,3.6,1.0,8.4,1.75,9.0,0.0,25.0,0.6000000000000001,0.4,0.9,ROLLOUT,DOWN,BEYOND,0.0,1.788538932800293,False,4
0.0,2.8000000000000003,1.6,1.2000000000000002,8.4,0.75,9.0,25.0,12.5,0.6000000000000001,0.25,0.5,ROLLOUT,DOWN,BEYOND,0.0,1.8356108665466309,False,4
0.0,2.8000000000000003,2.8000000000000003,1.4000000000000001,10.799999999999999,2.0,7.0,0.0,12.5,0.9,0.45,1.0,ROLLOUT,DOWN,BEYOND,0.0,1.8500081300735474,False,4
0.0,3.6,4.0,1.8,10.799999999999999,2.25,7.0,12.5,25.0,0.8,0.45,0.9,ROLLOUT,DOWN,BEYOND,0.0,1.8894479274749756,False,4
0.0,3.6,3.6,1.6,8.4,2.25,7.0,12.5,0.0,1.0,0.45,0.5,ROLLOUT,DOWN,BEYOND,0.0,1.8936365842819214,False,4
0.0,3.6,2.0,1.4000000000000001,8.4,1.75,5.0,62.5,25.0,0.6000000000000001,0.25,0.5,ROLLOUT,DOWN,BEYOND,0.0,1.9867427349090576,False,4
0.0,3.2,3.6,1.6,9.6,1.5,9.0,37.5,0.0,0.9,0.35000000000000003,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.0168473720550537,False,4
1.0,3.6,3.6,2.0,10.799999999999999,2.25,7.0,25.0,12.5,0.9,0.4,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.0492708683013916,False,4
1.0,3.2,3.6,1.8,10.799999999999999,2.5,7.0,25.0,12.5,0.9,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.0546226501464844,False,4
0.0,2.8000000000000003,2.0,1.2000000000000002,6.0,1.5,5.0,25.0,25.0,0.6000000000000001,0.4,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.143665075302124,False,4
0.0,3.6,3.6,1.6,12.0,2.5,7.0,25.0,12.5,0.7000000000000001,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.149803638458252,False,4
1.0,3.6,2.8000000000000003,1.8,8.4,1.5,5.0,37.5,25.0,0.8,0.45,1.0,ROLLOUT,DOWN,BEYOND,0.0,2.1809353828430176,False,4
0.0,2.8000000000000003,2.8000000000000003,1.2000000000000002,8.4,1.75,9.0,12.5,0.0,0.8,0.35000000000000003,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.1964709758758545,False,4
0.0,0.8,2.4000000000000004,1.6,7.199999999999999,1.25,5.0,50.0,25.0,0.7000000000000001,0.2,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.206221103668213,False,4
0.0,4.0,3.6,1.4000000000000001,7.199999999999999,2.25,9.0,25.0,0.0,0.7000000000000001,0.45,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.208535671234131,False,4
0.0,4.0,3.2,1.2000000000000002,8.4,1.5,9.0,12.5,0.0,0.8,0.5,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.212848424911499,False,4
0.0,0.8,2.0,1.4000000000000001,7.199999999999999,1.75,5.0,37.5,25.0,0.8,0.2,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.2346396446228027,False,4
0.0,2.0,1.6,0.0,8.4,1.0,5.0,37.5,12.5,0.4,0.05,0.4,ROLLOUT,DOWN,BEYOND,0.0,2.257406234741211,False,4
0.0,2.0,0.8,0.8,8.4,0.75,9.0,50.0,50.0,0.7000000000000001,0.15000000000000002,0.5,ROLLOUT,DOWN,BEYOND,0.0,2.2605032920837402,False,4
0.0,2.4000000000000004,0.8,0.8,8.4,1.0,9.0,50.0,25.0,0.2,0.30000000000000004,0.5,ROLLOUT,DOWN,BEYOND,0.0,2.2624611854553223,False,4
0.0,2.4000000000000004,2.4000000000000004,1.0,8.4,1.75,9.0,37.5,50.0,0.8,0.45,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.262509822845459,False,4
0.0,3.2,3.6,1.4000000000000001,4.8,1.5,9.0,37.5,25.0,0.7000000000000001,0.25,0.8,ROLLOUT,DOWN,BEYOND,0.0,2.263399839401245,False,4
0.0,1.2000000000000002,1.6,1.0,4.8,1.25,7.0,50.0,25.0,0.2,0.35000000000000003,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.2634267807006836,False,4
0.0,3.2,3.6,0.8,4.8,1.5,5.0,50.0,50.0,0.4,0.4,0.5,ROLLOUT,DOWN,BEYOND,0.0,2.2634778022766113,False,4
1.0,0.0,0.8,0.6000000000000001,10.799999999999999,1.5,5.0,37.5,25.0,0.4,0.2,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.2634963989257812,False,4
0.0,1.6,0.8,1.4000000000000001,2.4,0.25,5.0,75.0,25.0,0.6000000000000001,0.0,0.2,ROLLOUT,DOWN,BEYOND,0.0,2.263526678085327,False,4
0.0,0.4,0.8,0.4,8.4,1.5,5.0,87.5,37.5,0.5,0.4,0.30000000000000004,ROLLOUT,DOWN,BEYOND,0.0,2.263526678085327,False,4
0.0,2.4000000000000004,3.6,1.6,6.0,1.75,5.0,75.0,25.0,1.0,0.30000000000000004,0.9,ROLLOUT,DOWN,BEYOND,0.0,2.263526678085327,False,4
0.0,1.2000000000000002,1.6,0.4,4.8,1.25,9.0,75.0,25.0,0.30000000000000004,0.25,0.7000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.263526678085327,False,4
0.0,2.0,1.2000000000000002,1.2000000000000002,2.4,0.25,5.0,62.5,50.0,0.30000000000000004,0.05,0.2,ROLLOUT,DOWN,BEYOND,0.0,2.263526678085327,False,4
0.0,3.6,2.4000000000000004,1.2000000000000002,10.799999999999999,1.5,7.0,62.5,0.0,0.8,0.4,0.6000000000000001,ROLLOUT,DOWN,BEYOND,0.0,2.263526678085327,False,4
